Study,Phase,Condition,Intervention,Dose,Male_Prop,Age (SD),N,T,SAE
1,phase 2,Atopic Dermatitis,Placebo,,0.38,21.4 (2.3),56,4589,2
1,phase 2,Atopic Dermatitis,Abrocitinib,10mg,0.43,24.7 (3.1),49,4056,2
1,phase 2,Atopic Dermatitis,Abrocitinib,30mg,0.43,19.8 (1.9),51,4412,0
1,phase 2,Atopic Dermatitis,Abrocitinib,100mg,0.55,23.2 (2.7),56,5188,3
1,phase 2,Atopic Dermatitis,Abrocitinib,200mg,0.51,22.5 (2.5),55,5602,2
2,phase 3,Atopic Dermatitis,Placebo,,0.58,20.9 (1.8),56,4277,2
2,phase 3,Atopic Dermatitis,Abrocitinib,100mg,0.58,20.9 (1.8),156,12277,5
3,phase 3,Atopic Dermatitis,Placebo,,0,25.3 (3.0),78,5257,1
3,phase 3,Atopic Dermatitis,Placebo,,1,21.4 (2.3),78,5257,1
3,phase 3,Atopic Dermatitis,Abrocitinib,100mg,0,24.7 (3.1),158,12419,5
3,phase 3,Atopic Dermatitis,Abrocitinib,100mg,1,19.8 (1.9),158,12419,5
4,phase 2,Active Non-segmental Vitiligo,Placebo,,0.61,20.9 (1.8),66,5329,1
4,phase 2,Active Non-segmental Vitiligo,Ritlecitinib,200mg,0.46,25.3 (3.0),65,5248,0
4,phase 2,Active Non-segmental Vitiligo,Ritlecitinib,100mg,0.46,21.4 (2.3),67,5410,0
4,phase 2,Active Non-segmental Vitiligo,Ritlecitinib,50mg,0.58,24.7 (3.1),67,5410,1
4,phase 2,Active Non-segmental Vitiligo,Ritlecitinib,30mg,0.56,19.8 (1.9),50,4037,1
4,phase 2,Active Non-segmental Vitiligo,Ritlecitinib,10mg,0.51,23.2 (2.7),49,3956,1
5,phase 2,Alopecia Areata,Placebo,,0.66,22.5 (2.5),131,10577,3
5,phase 2,Alopecia Areata,Ritlecitinib,10mg,0.69,20.9 (1.8),62,5006,2
5,phase 2,Alopecia Areata,Ritlecitinib,30mg,0.61,25.3 (3.0),132,10658,1
5,phase 2,Alopecia Areata,Ritlecitinib,50mg,0.55,21.4 (2.3),130,10496,0
5,phase 2,Alopecia Areata,Ritlecitinib,200mg,0.65,24.7 (3.1),130,10496,0
5,phase 2,Alopecia Areata,Ritlecitinib,200mg,0.61,19.8 (1.9),132,10658,4